sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00004405859,RNA020150,RNA020150_S155_R2_001.fastq.gz,EGAF00008256819
EGAN00004405860,RNA020152,RNA020152_S157_R1_001.fastq.gz,EGAF00008256822
EGAN00004405860,RNA020152,RNA020152_S157_R2_001.fastq.gz,EGAF00008256823
EGAN00004405861,RNA020157,RNA020157_S162_R1_001.fastq.gz,EGAF00008256832
EGAN00004405861,RNA020157,RNA020157_S162_R2_001.fastq.gz,EGAF00008256833
EGAN00004405862,RNA020179,RNA020179_S182_R1_001.fastq.gz,EGAF00008256872
EGAN00004405862,RNA020179,RNA020179_S182_R2_001.fastq.gz,EGAF00008256873
EGAN00004405863,RNA020174,RNA020174_S177_R1_001.fastq.gz,EGAF00008256862
EGAN00004405863,RNA020174,RNA020174_S177_R2_001.fastq.gz,EGAF00008256863
EGAN00004405864,RNA020140,RNA020140_S145_R1_001.fastq.gz,EGAF00008256800
EGAN00004405864,RNA020140,RNA020140_S145_R2_001.fastq.gz,EGAF00008256801
EGAN00004405865,RNA020172,RNA020172_S176_R1_001.fastq.gz,EGAF00008256860
EGAN00004405865,RNA020172,RNA020172_S176_R2_001.fastq.gz,EGAF00008256861
EGAN00004405866,RNA020113,RNA020113_S119_R1_001.fastq.gz,EGAF00008256760
EGAN00004405866,RNA020113,RNA020113_S119_R2_001.fastq.gz,EGAF00008256761
EGAN00004405867,RNA020135,RNA020135_S140_R1_001.fastq.gz,EGAF00008256790
EGAN00004405867,RNA020135,RNA020135_S140_R2_001.fastq.gz,EGAF00008256791
EGAN00004405868,RNA020044,RNA020044_S70_R1_001.fastq.gz,EGAF00008256686
EGAN00004405868,RNA020044,RNA020044_S70_R2_001.fastq.gz,EGAF00008256687
EGAN00004405869,RNA020185,RNA020185_S188_R1_001.fastq.gz,EGAF00008256884
EGAN00004405869,RNA020185,RNA020185_S188_R2_001.fastq.gz,EGAF00008256885
EGAN00004405870,RNA020182,RNA020182_S185_R1_001.fastq.gz,EGAF00008256878
EGAN00004405870,RNA020182,RNA020182_S185_R2_001.fastq.gz,EGAF00008256879
EGAN00004405871,RNA020122,RNA020122_S128_R1_001.fastq.gz,EGAF00008256772
