	human	fungi	other_eukaryotes	bacteria	other	unclassified	dataset_short_name	sample_name	dataset_batch
1856	99.18923676046732	0.0241018799466358	0.0681053122143527	0.2040159132412328	0.0511039861109166	0.4634361480195455	tao	SRR16575259	tao
2075	93.67986334947793	0.0400530840874747	0.969774672649794	0.5213401431910257	3.872648193910931	0.9163205566828644	toden	SRRISOLATE_2498	toden
321	94.44315497360812	0.0384875775714981	0.2635166174672494	0.4025114484462114	3.9803016504095066	0.8720277324973988	chalasani	X14908	chalasani
356	91.84364396737158	0.0578507520597767	0.3100540307023991	6.290731779513134	0.7769601004813063	0.7207593698718083	chen	SRR14506680	chen
583	86.71929027138358	0.219965067607131	1.4880519315573115	1.1439783625178324	4.650968591348508	5.777745775585628	decruyenaere	RNA019987_S20	decruyenaere
1083	65.91913295956648	0.5418502709251354	2.9177514588757294	17.075408537704266	7.542153771076886	6.003703001851501	moufarrej	SRR17333015	moufarrej_site_1
2089	93.70939176019624	0.0387518988430433	0.8493916201893893	0.4632226979121976	4.169954327762061	0.7692876950970597	toden	SRRISOLATE_2521	toden
278	94.5394229869566	0.0330106212199422	0.3863504235136547	0.5553458808737091	3.6355312029217552	0.8503388845143391	chalasani	X13029	chalasani
492	91.8994564165857	0.1903254779521834	0.4102842967733263	2.19317272266248	4.576670923277142	0.7300901627491594	chen	SRR14506816	chen
631	86.92911850090393	0.9959967093500964	1.0897152187557042	4.242587911112445	3.469835292470263	3.2727463674075628	decruyenaere	RNA020042_S68	decruyenaere
1441	66.0748152818661	0.3329101537596897	2.187816728410217	3.830716836863525	6.894360277988479	20.679380721112	moufarrej	SRR17333394	moufarrej_site_1
2149	93.71032472456132	0.0350612897352947	0.763245765136374	0.5500271087290107	3.647224406258815	1.2941167055791964	toden	SRRISOLATE_3267	toden
322	94.54954528309098	0.0225433682894014	0.2146881953064375	0.3115083618171838	4.337465914925649	0.5642488765703505	chalasani	X14909	chalasani
372	91.98173161636394	0.1012021252446301	0.0587012327258872	7.075898593870471	0.1781537412285658	0.6043126905665019	chen	SRR14506696	chen
729	87.01631388027685	0.5872076652581217	1.1194505724787105	3.6114196661803697	3.0408164592193003	4.624791756586644	decruyenaere	RNA020182_S185	decruyenaere
1333	66.13906218202855	0.8302070567599825	2.321869735892755	10.356188027598234	6.178502517271397	14.174170480449083	moufarrej	SRR17333286	moufarrej_site_1
2084	93.77532543322336	0.0342548128011985	0.4882185947125571	1.18101593273855	3.4878900485518214	1.0332951779725053	toden	SRRISOLATE_2516	toden
112	94.6904392687641	0.0233727397013198	0.3082213345087295	0.6950455128075143	3.36658167812002	0.9163394660983212	chalasani	X12785	chalasani
449	91.99177358354922	0.237703381714453	0.0794398642281829	4.64771989103336	2.1374304516056144	0.905932827869168	chen	SRR14506773	chen
584	87.03482779681059	1.0231199907562054	0.7973773233912521	5.344293832618289	1.6907940709661315	4.109586985457531	decruyenaere	RNA019988_S21	decruyenaere
1408	66.23011295596012	2.493221192380135	1.944816530940513	20.328822794993755	3.4231790970223246	5.579847428703144	moufarrej	SRR17333361	moufarrej_site_1
2177	93.81380354247018	0.0364038041975386	0.9263468032409388	0.4894511476449288	3.924810142659908	0.8091845597864976	toden	SRRISOLATE_5664	toden
224	94.69437041584092	0.030951403708268	0.3595642166577556	0.3710545370979488	3.6599776094026018	0.8840818172925181	chalasani	X12969	chalasani
436	92.00187847507712	0.1259270264329732	0.273121728441293	1.2858802986022355	4.094383705500696	2.218808765945669	chen	SRR14506760	chen
644	87.11853364809676	0.2898118524641513	1.4425545073448691	3.2398183071825506	3.1420468362372898	4.767234848674381	decruyenaere	RNA020071_S91	decruyenaere
1122	66.64823288170561	1.0030745753270955	3.4596347610516456	17.545779871606854	6.42350737593071	4.919770534378092	moufarrej	SRR17333054	moufarrej_site_1
2005	93.83331566599531	0.0542520615783399	0.5084693218342297	1.1499436978605186	3.7121410613603314	0.7418781913712721	toden	SRRISOLATE_11414	toden
289	94.73225016237336	0.0314007067716084	0.4456956995351264	0.3214736852871835	3.6828324051202586	0.7863473409124615	chalasani	X13041	chalasani
412	92.03641382345144	0.3488366278459238	1.032958460638367	2.785592487211157	2.366948529595608	1.429250071257482	chen	SRR14506736	chen
